id;uuid;question_uuid;label;descriptor
1;France protocol;open-source HDD;Sleek Beauty Auto Loan Account;deposit
2;extend Unbranded Fresh Pants Tools;Practical North Dakota;implementation;Wallis and Futuna
3;generating;Computers Small Fresh Gloves back-end;interface;compress lavender Investment Account
4;backing up;Iran;Philippine Peso Metal;Strategist
5;card Licensed Cotton Ball;mindshare Gorgeous;Chips;navigating
6;Som Rustic Frozen Keyboard ROI;Benin;Tuna Response invoice;alarm Jamaica
7;system Gorgeous Rubber Pants;hack;leading-edge;Ergonomic Steel Gloves
8;Developer Shoes Music;Buckinghamshire Hollow Shoes;withdrawal Generic Frozen Tuna;Gorgeous Cotton Chair Personal Loan Account Borders
9;Norfolk Island Chilean Peso Unidades de fomento Checking Account;invoice Outdoors New York;multi-byte Jamaican Dollar North Carolina;Station
10;parsing Investment Account;Branding Dynamic black;yellow;Books Generic
